Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,All_Star
365,Collin Snider,29,SEA,AL,-0.7,2,1,0.667,5.47,24,0,4,0,0,0,26.1,32,20,16,3,6,1,24,2,0,1,119,70,3.71,1.443,10.9,1,2.1,8.2,4,No
366,Colin Holderman,29,PIT,NL,-0.8,0,2,0,7.01,24,0,6,0,0,1,25.2,34,21,20,4,16,1,18,2,0,3,125,62,5.86,1.948,11.9,1.4,5.6,6.3,1.13,No
367,Slade Cecconi,26,CLE,AL,0.8,7,7,0.5,4.3,23,23,0,0,0,0,132,125,66,63,24,32,1,109,3,1,3,545,98,4.64,1.189,8.5,1.6,2.2,7.4,3.41,No
368,Jameson Taillon,33,CHC,NL,1.3,11,7,0.611,3.68,23,23,0,0,0,0,129.2,110,54,53,24,27,0,98,0,0,1,519,105,4.66,1.057,7.6,1.7,1.9,6.8,3.63,No
369,George Kirby,27,SEA,AL,0.8,10,8,0.556,4.21,23,23,0,0,0,0,126,121,60,59,15,29,0,137,7,0,3,524,90,3.37,1.19,8.6,1.1,2.1,9.8,4.72,No
370,Spencer Strider,26,ATL,NL,1,7,14,0.333,4.45,23,23,0,0,0,0,125.1,124,63,62,20,51,0,131,8,1,1,539,93,4.53,1.396,8.9,1.4,3.7,9.4,2.57,No
371,Cade Horton,23,CHC,NL,2,11,4,0.733,2.67,23,22,0,0,0,0,118,95,40,35,10,33,0,97,6,0,1,476,144,3.59,1.085,7.2,0.8,2.5,7.4,2.94,No
373,Simeon Woods Richardson,24,MIN,AL,2.2,7,4,0.636,4.04,23,22,0,0,0,0,111.1,96,53,50,17,46,0,107,3,1,4,471,106,4.52,1.275,7.8,1.4,3.7,8.6,2.33,No
374,Jack Kochanowicz,24,LAA,AL,-1.4,3,11,0.214,6.81,23,23,0,0,0,0,111,136,89,84,21,58,4,72,7,1,4,512,63,6.05,1.748,11,1.7,4.7,5.8,1.24,No
375,Aaron Civale,30,3TM,2LG,0.1,4,9,0.308,4.85,23,18,2,0,0,1,102,96,59,55,16,33,1,88,7,2,0,435,86,4.63,1.265,8.5,1.4,2.9,7.8,2.67,No
376,Mike Burrows,25,PIT,NL,1.5,2,4,0.333,3.94,23,19,0,0,0,0,96,88,43,42,13,31,1,97,5,0,2,402,109,4,1.24,8.3,1.2,2.9,9.1,3.13,No
377,J.T. Ginn,26,ATH,AL,0.5,4,7,0.364,5.08,23,16,0,0,0,0,90.1,92,52,51,17,31,1,99,6,0,1,392,83,4.62,1.362,9.2,1.7,3.1,9.9,3.19,No
378,Shinnosuke Ogasawara*,27,WSN,NL,-0.5,1,1,0.5,6.98,23,2,7,0,0,0,38.2,43,30,30,9,17,0,30,3,0,1,173,59,6.16,1.552,10,2.1,4,7,1.76,No
379,Chris Murphy*,27,BOS,AL,0.5,3,0,1,3.12,23,0,12,0,0,0,34.2,21,12,12,4,20,1,30,5,0,1,148,133,5.07,1.183,5.5,1,5.2,7.8,1.5,No
380,Luis Mey,24,CIN,NL,0.5,2,0,1,3.43,23,0,7,0,0,0,21,17,8,8,3,17,0,21,1,0,2,96,135,5.56,1.619,7.3,1.3,7.3,9,1.24,No
381,Sam Bachman,25,LAA,AL,-0.2,2,3,0.4,6.2,23,0,5,0,0,0,20.1,22,15,14,1,10,0,18,1,0,2,94,70,3.63,1.574,9.7,0.4,4.4,8,1.8,No
382,Sam Moll*,33,CIN,NL,-0.5,1,0,1,6.38,23,0,3,0,0,0,18.1,16,16,13,4,10,0,22,0,0,4,81,73,5.21,1.418,7.9,2,4.9,10.8,2.2,No
383,Nathan Eovaldi,35,TEX,AL,4.2,11,3,0.786,1.73,22,22,0,1,1,0,130,90,28,25,10,21,1,129,7,0,6,496,211,2.8,0.854,6.2,0.7,1.5,8.9,6.14,No
384,Grant Holmes,29,ATL,NL,1.4,4,9,0.308,3.99,22,21,1,0,0,0,115,100,52,51,16,54,1,123,7,0,5,492,104,4.4,1.339,7.8,1.3,4.2,9.6,2.28,No
385,Kodai Senga,32,NYM,NL,2.1,7,6,0.538,3.02,22,22,0,0,0,0,113.1,94,44,38,12,55,0,109,3,0,5,482,133,4.12,1.315,7.5,1,4.4,8.7,1.98,No
386,Cade Povich*,25,BAL,AL,-0.2,3,8,0.273,5.21,22,20,0,0,0,0,112.1,125,70,65,17,43,2,118,1,0,6,488,77,4.18,1.496,10,1.4,3.4,9.5,2.74,No
387,Landen Roupp,26,SFG,NL,0.8,7,7,0.5,3.8,22,22,0,0,0,0,106.2,113,55,45,11,45,1,102,3,1,7,476,105,3.91,1.481,9.5,0.9,3.8,8.6,2.27,No
388,Jonathan Cannon,24,CHW,AL,-0.5,4,10,0.286,5.82,22,17,1,0,0,0,103.2,116,69,67,19,38,1,86,6,1,2,466,72,5.13,1.486,10.1,1.6,3.3,7.5,2.26,No
389,Emerson Hancock,26,SEA,AL,-0.2,4,5,0.444,4.9,22,16,2,0,0,0,90,93,51,49,15,31,0,64,5,1,2,385,77,5.08,1.378,9.3,1.5,3.1,6.4,2.06,No
390,Michael Soroka,27,2TM,NL,0.6,3,8,0.273,4.52,22,17,1,0,0,0,89.2,72,49,45,12,29,0,95,15,1,2,379,91,4.23,1.126,7.2,1.2,2.9,9.5,3.28,No
391,Tobias Myers,26,MIL,NL,0.6,1,2,0.333,3.55,22,6,8,0,0,0,50.2,54,21,20,5,15,0,38,2,1,0,220,117,3.93,1.362,9.6,0.9,2.7,6.8,2.53,No
392,Jake Woodford,28,ARI,NL,-0.8,0,4,0,6.44,22,0,8,0,0,3,36.1,45,28,26,3,13,1,23,3,0,1,170,68,4.26,1.596,11.1,0.7,3.2,5.7,1.77,No
393,Orlando Ribalta,27,WSN,NL,-0.3,0,0,,7.03,22,0,7,0,0,0,24.1,28,19,19,6,17,0,25,1,1,0,120,59,6.51,1.849,10.4,2.2,6.3,9.2,1.47,No
394,John Brebbia,35,2TM,2LG,-0.7,1,1,0.5,7.71,22,0,13,0,0,0,23.1,28,23,20,5,12,0,26,4,0,2,115,55,5.75,1.714,10.8,1.9,4.6,10,2.17,No
395,Grant Holman,25,ATH,AL,0.1,4,2,0.667,5.09,22,2,7,0,0,0,23,26,14,13,3,9,0,17,1,0,1,103,83,4.66,1.522,10.2,1.2,3.5,6.7,1.89,No
396,Beau Brieske,27,DET,AL,-0.8,1,3,0.25,6.55,22,1,9,0,0,1,22,24,20,16,5,12,1,16,0,0,2,103,64,6.27,1.636,9.8,2,4.9,6.5,1.33,No
397,Yimi Garc�a,34,TOR,AL,0.1,1,2,0.333,3.86,22,0,4,0,0,3,21,13,10,9,2,12,1,25,1,0,2,90,112,3.85,1.19,5.6,0.9,5.1,10.7,2.08,No
398,Paul Sewald,35,2TM,AL,-0.1,1,1,0.5,4.58,22,0,5,0,0,2,19.2,18,11,10,4,6,0,20,0,0,0,81,94,4.66,1.22,8.2,1.8,2.7,9.2,3.33,No
399,Edgardo Henriquez,23,LAD,NL,0.5,2,1,0.667,2.37,22,0,3,0,0,1,19,17,5,5,2,5,0,18,0,0,2,78,178,3.4,1.158,8.1,0.9,2.4,8.5,3.6,No
400,Luis Peralta*,24,COL,NL,-0.8,1,3,0.25,9.47,22,0,2,0,0,0,19,26,22,20,6,18,0,16,2,1,1,101,52,8.71,2.316,12.3,2.8,8.5,7.6,0.89,No
402,Adrian Houser,32,2TM,AL,3.3,8,5,0.615,3.31,21,21,0,0,0,0,125,122,49,46,10,38,0,92,8,3,5,518,126,3.81,1.28,8.8,0.7,2.7,6.6,2.42,No
403,Janson Junk,29,MIA,NL,1,6,4,0.6,4.17,21,16,3,0,0,1,110,112,54,51,8,13,0,77,4,0,2,447,106,3.15,1.136,9.2,0.7,1.1,6.3,5.92,No
404,Chase Dollander,23,COL,NL,-0.3,2,12,0.143,6.52,21,21,0,0,0,0,98,103,76,71,18,49,0,82,6,0,2,441,75,5.53,1.551,9.5,1.7,4.5,7.5,1.67,No
405,Jacob Lopez*,27,ATH,AL,1.1,7,7,0.5,4.08,21,17,1,0,0,0,92.2,81,47,42,15,37,0,113,8,1,0,399,103,4.26,1.273,7.9,1.5,3.6,11,3.05,No
406,Hayden Birdsong,23,SFG,NL,-0.5,4,4,0.5,4.8,21,10,2,0,0,0,65.2,61,42,35,10,37,0,68,5,0,6,298,83,4.96,1.492,8.4,1.4,5.1,9.3,1.84,No
407,Yoendrys G�mez,25,3TM,2LG,0,3,3,0.5,5.17,21,9,8,0,0,1,62.2,60,40,36,12,27,0,58,4,0,2,277,82,5.26,1.388,8.6,1.7,3.9,8.3,2.15,No
408,Chris Flexen,30,CHC,NL,0.4,5,1,0.833,3.09,21,1,12,0,0,1,43.2,38,18,15,7,12,0,22,0,0,3,178,125,5.04,1.145,7.8,1.4,2.5,4.5,1.83,No
409,Grant Wolfram*,28,BAL,AL,-0.4,3,1,0.75,5.4,21,0,3,0,0,0,26.2,35,20,16,2,15,1,31,1,0,3,133,75,3.59,1.875,11.8,0.7,5.1,10.5,2.07,No
410,Connor Phillips,24,CIN,NL,0.7,5,0,1,2.88,21,0,5,0,0,0,25,11,9,8,3,12,0,32,2,0,2,98,161,3.82,0.92,4,1.1,4.3,11.5,2.67,No
411,Michael Tonkin,35,MIN,AL,0.2,2,1,0.667,4.88,21,0,7,0,0,0,24,20,13,13,3,8,0,19,5,0,1,103,89,4.8,1.167,7.5,1.1,3,7.1,2.38,No
412,Julian Merryweather,33,CHC,NL,-0.5,0,1,0,5.79,21,0,2,0,0,0,18.2,23,13,12,2,11,2,15,0,0,1,88,68,4.69,1.821,11.1,1,5.3,7.2,1.36,No
413,Scott Alexander*,35,2TM,NL,0,1,1,0.5,6.11,21,0,4,0,0,0,17.2,23,12,12,5,9,0,8,1,0,0,81,81,7.61,1.811,11.7,2.5,4.6,4.1,0.89,No
415,Eury P�rez,22,MIA,NL,1.2,7,6,0.538,4.25,20,20,0,0,0,0,95.1,68,47,45,12,32,0,105,3,2,9,385,104,3.67,1.049,6.4,1.1,3,9.9,3.28,No
416,Keider Montero,24,DET,AL,0.7,5,3,0.625,4.37,20,12,1,0,0,0,90.2,95,46,44,16,31,0,72,2,0,2,389,95,4.93,1.39,9.4,1.6,3.1,7.1,2.32,No
417,Colton Gordon*,26,HOU,AL,-0.4,6,4,0.6,5.34,20,14,2,0,0,1,86,103,54,51,21,19,2,72,2,1,3,379,79,5.37,1.419,10.8,2.2,2,7.5,3.79,No
418,Bryse Wilson,27,CHW,AL,-0.7,0,2,0,6.65,20,5,8,0,0,0,47.1,67,37,35,11,19,0,28,2,0,0,224,63,6.31,1.817,12.7,2.1,3.6,5.3,1.47,No
419,Kyle Hart*,32,SDP,NL,-0.4,3,3,0.5,5.86,20,6,2,0,0,0,43,38,28,28,9,13,0,37,2,1,0,179,73,5.18,1.186,8,1.9,2.7,7.7,2.85,No
420,DL Hall*,26,MIL,NL,0.6,1,0,1,3.49,20,3,2,0,0,0,38.2,24,15,15,2,17,0,27,0,0,0,155,120,3.73,1.06,5.6,0.5,4,6.3,1.59,No
421,Matt Bowman,34,BAL,AL,-0.3,0,1,0,6.2,20,0,8,0,0,0,24.2,31,18,17,4,6,0,18,2,0,1,114,66,4.76,1.5,11.3,1.5,2.2,6.6,3,No
422,Chris Roycroft,28,STL,NL,-0.9,1,3,0.25,7.84,20,0,10,0,0,0,20.2,26,21,18,2,12,1,15,1,0,3,101,53,4.83,1.839,11.3,0.9,5.2,6.5,1.25,No
423,Jes�s Tinoco,30,MIA,NL,-0.1,2,1,0.667,5.12,20,0,8,0,0,4,19.1,17,12,11,1,8,1,10,0,0,0,80,87,4.02,1.293,7.9,0.5,3.7,4.7,1.25,No
424,David Robertson,40,PHI,NL,0.2,2,0,1,4.08,20,0,4,0,0,2,17.2,18,9,8,4,8,1,22,0,0,0,78,110,4.95,1.472,9.2,2,4.1,11.2,2.75,No
425,Stephen Kolek,28,2TM,2LG,2,5,7,0.417,3.51,19,19,0,1,1,0,112.2,98,49,44,9,31,1,77,7,0,0,461,121,3.82,1.145,7.8,0.7,2.5,6.2,2.48,No
426,Hunter Greene,25,CIN,NL,4.4,7,4,0.636,2.76,19,19,0,1,1,0,107.2,75,35,33,15,26,0,132,2,0,5,420,166,3.28,0.938,6.3,1.3,2.2,11,5.08,No
427,Ryan Bergert,25,2TM,2LG,1.4,2,2,0.5,3.66,19,15,2,0,0,0,76.1,61,32,31,8,35,1,73,1,0,2,323,115,4,1.258,7.2,0.9,4.1,8.6,2.09,No
428,Ryan Yarbrough*,33,NYY,AL,0.6,3,1,0.75,4.36,19,8,4,0,0,1,64,58,31,31,13,19,0,55,2,0,0,264,94,5.04,1.203,8.2,1.8,2.7,7.7,2.89,No
429,Ian Seymour*,26,TBR,AL,-0.1,4,3,0.571,3.63,19,5,7,0,0,0,57,48,33,23,5,19,1,64,3,0,0,242,113,3.19,1.175,7.6,0.8,3,10.1,3.37,No
430,Jos� Ure�a,33,5TM,2LG,0.4,0,1,0,4.58,19,6,8,0,0,1,55,57,29,28,8,23,1,34,3,0,2,245,96,5.21,1.455,9.3,1.3,3.8,5.6,1.48,No
431,Sean Reynolds,27,SDP,NL,-0.1,0,1,0,5.33,19,1,4,0,0,0,27,20,16,16,4,17,0,25,3,0,1,117,81,5.43,1.37,6.7,1.3,5.7,8.3,1.47,No
432,Hunter Strickland,36,LAA,AL,0.6,1,2,0.333,3.27,19,0,6,0,0,1,22,17,9,8,2,10,2,14,0,0,1,91,132,4.41,1.227,7,0.8,4.1,5.7,1.4,No
433,Cionel P�rez*,29,BAL,AL,-0.6,0,0,,8.31,19,0,6,0,0,0,21.2,28,22,20,3,18,1,21,2,1,1,110,49,5.77,2.123,11.6,1.2,7.5,8.7,1.17,No
434,Kendall Graveman,34,ARI,NL,-0.4,1,0,1,7.13,19,0,4,0,0,0,17.2,23,14,14,2,12,0,9,1,0,0,82,62,5.8,1.981,11.7,1,6.1,4.6,0.75,No
435,Evan Sisk*,28,2TM,2LG,0.2,1,1,0.5,3.57,19,0,5,0,0,0,17.2,16,7,7,1,10,0,25,2,1,3,80,123,3.08,1.472,8.2,0.5,5.1,12.7,2.5,No
436,Nick Sandlin,28,TOR,AL,0.3,0,2,0,2.2,19,0,4,0,0,1,16.1,11,7,4,2,8,0,16,2,0,1,69,197,4.61,1.163,6.1,1.1,4.4,8.8,2,No
437,Trevor Rogers*,27,BAL,AL,5.5,9,3,0.75,1.81,18,18,0,1,0,0,109.2,70,23,22,6,29,0,103,2,1,0,423,223,2.82,0.903,5.7,0.5,2.4,8.5,3.55,No
438,Tyler Glasnow,31,LAD,NL,1.9,4,3,0.571,3.19,18,18,0,0,0,0,90.1,56,33,32,10,43,0,106,3,2,5,366,130,3.76,1.096,5.6,1,4.3,10.6,2.47,No
439,Bryce Miller,26,SEA,AL,-0.8,4,6,0.4,5.68,18,18,0,0,0,0,90.1,93,57,57,17,34,0,74,3,0,2,392,67,5.17,1.406,9.3,1.7,3.4,7.4,2.18,No
440,Jason Alexander,32,2TM,AL,0.6,4,2,0.667,4.77,18,13,4,0,0,1,77.1,80,45,41,15,26,0,65,3,0,1,336,88,5.1,1.371,9.3,1.7,3,7.6,2.5,No
441,Travis Adams,25,MIN,AL,-0.9,1,4,0.2,7.49,18,2,3,0,0,0,33.2,39,29,28,6,17,0,31,3,0,5,158,58,5.39,1.663,10.4,1.6,4.5,8.3,1.82,No
442,Cole Sulser,35,TBR,AL,0.6,2,1,0.667,1.99,18,0,11,0,0,0,22.2,20,5,5,1,7,1,22,0,0,0,90,210,2.69,1.191,7.9,0.4,2.8,8.7,3.14,No
443,Yaramil Hiraldo,29,BAL,AL,-0.2,0,0,,4.58,18,0,6,0,0,0,19.2,17,13,10,4,9,0,21,0,0,2,84,89,5.02,1.322,7.8,1.8,4.1,9.6,2.33,No
444,Alexis D�az,28,3TM,NL,-0.7,1,0,1,8.15,18,0,4,0,0,0,17.2,15,17,16,6,12,0,17,5,0,0,85,56,8.51,1.528,7.6,3.1,6.1,8.7,1.42,No
445,Fraser Ellard*,27,CHW,AL,0,1,2,0.333,4.24,18,3,5,0,0,0,17,8,9,8,1,19,0,22,1,0,3,74,101,4.84,1.588,4.2,0.5,10.1,11.6,1.16,No
446,Dauri Moreta,29,PIT,NL,0.3,1,1,0.5,3.24,18,0,6,0,0,0,16.2,16,8,6,2,7,1,19,0,0,0,68,135,3.68,1.38,8.6,1.1,3.8,10.3,2.71,No
447,Jos� Ruiz,30,2TM,NL,-0.7,1,0,1,8.82,18,0,2,0,0,0,16.1,23,17,16,3,9,0,15,0,1,0,79,52,5.34,1.959,12.7,1.7,5,8.3,1.67,No
448,Lucas Sims,31,WSN,NL,-0.9,1,0,1,13.86,18,0,2,0,0,0,12.1,14,19,19,2,14,0,13,7,0,3,72,30,8.24,2.27,10.2,1.5,10.2,9.5,0.93,No
449,Spencer Schwellenbach,25,ATL,NL,2.2,7,4,0.636,3.09,17,17,0,1,0,0,110.2,89,44,38,13,18,1,108,2,0,2,434,134,3.25,0.967,7.2,1.1,1.5,8.8,6,No
450,Michael McGreevy,24,STL,NL,0.7,8,4,0.667,4.42,17,16,1,0,0,0,95.2,100,50,47,12,20,0,58,3,1,0,400,93,4.28,1.254,9.4,1.1,1.9,5.5,2.9,No
451,Aaron Nola,32,PHI,NL,-0.3,5,10,0.333,6.01,17,17,0,0,0,0,94.1,99,65,63,18,28,0,97,4,0,1,404,73,4.58,1.346,9.4,1.7,2.7,9.3,3.46,No
452,Max Scherzer,40,TOR,AL,0.2,5,5,0.5,5.19,17,17,0,0,0,0,85,87,49,49,19,23,0,82,2,0,2,358,82,4.99,1.294,9.2,2,2.4,8.7,3.57,No
453,Trevor Williams,33,WSN,NL,-0.6,3,10,0.231,6.21,17,17,0,0,0,0,82.2,106,59,57,11,21,0,65,2,0,1,373,66,4.13,1.536,11.5,1.2,2.3,7.1,3.1,No
454,Anthony Molina,23,COL,NL,-0.3,1,1,0.5,7.27,17,1,5,0,0,0,34.2,52,30,28,12,6,0,24,2,1,1,160,67,6.94,1.673,13.5,3.1,1.6,6.2,4,No
455,JT Brubaker,31,2TM,2LG,0.3,0,0,,3.77,17,1,11,0,0,0,28.2,23,12,12,0,12,1,22,1,0,2,117,109,2.96,1.221,7.2,0,3.8,6.9,1.83,No
456,Brent Headrick*,27,NYY,AL,0.3,0,0,,3.13,17,0,4,0,0,0,23,17,8,8,4,7,1,30,1,0,2,92,132,3.83,1.043,6.7,1.6,2.7,11.7,4.29,No
457,Joel Peguero,28,SFG,NL,0.8,3,1,0.75,2.42,17,0,4,0,0,0,22.1,15,7,6,2,8,1,17,0,1,0,86,167,3.85,1.03,6,0.8,3.2,6.9,2.13,No
458,Luis Curvelo,24,TEX,AL,-0.4,1,1,0.5,5.68,17,0,4,0,0,0,19,17,13,12,3,10,1,20,0,0,0,84,66,4.66,1.421,8.1,1.4,4.7,9.5,2,No
459,Corbin Martin,29,BAL,AL,-0.5,1,0,1,6,17,0,7,0,0,2,18,22,15,12,4,9,0,23,2,1,1,89,68,5.3,1.722,11,2,4.5,11.5,2.56,No
460,Justin Lawrence,30,PIT,NL,1,1,0,1,0.51,17,0,3,0,0,0,17.2,9,1,1,0,8,2,23,2,0,2,69,855,2.23,0.962,4.6,0,4.1,11.7,2.88,No
461,Justin Mart�nez,23,ARI,NL,0.2,1,2,0.333,4.11,17,0,9,0,0,5,15.1,7,8,7,1,12,1,22,3,0,2,67,107,4.05,1.239,4.1,0.6,7,12.9,1.83,No
462,Luis Ortiz,26,CLE,AL,0.6,4,9,0.308,4.36,16,16,0,0,0,0,88.2,80,44,43,12,42,0,96,1,0,0,382,96,4.18,1.376,8.1,1.2,4.3,9.7,2.29,No
463,Tyler Mahle,30,TEX,AL,2.1,6,4,0.6,2.18,16,16,0,0,0,0,86.2,69,21,21,5,29,0,66,0,1,0,346,168,3.37,1.131,7.2,0.5,3,6.9,2.28,No
464,Logan Evans,24,SEA,AL,0,6,5,0.545,4.32,16,15,0,0,0,0,81.1,82,45,39,13,31,1,59,4,0,5,350,88,5.05,1.389,9.1,1.4,3.4,6.5,1.9,No
465,Zebby Matthews,25,MIN,AL,0.2,5,6,0.455,5.56,16,16,0,0,0,0,79.1,94,50,49,12,24,0,88,0,0,2,354,77,3.79,1.487,10.7,1.4,2.7,10,3.67,No
466,Griffin Canning,29,NYM,NL,1.1,7,3,0.7,3.77,16,16,0,0,0,0,76.1,70,35,32,8,35,0,70,0,0,3,328,107,4.04,1.376,8.3,0.9,4.1,8.3,2,No
467,Lance McCullers Jr.,31,HOU,AL,-1.1,2,5,0.286,6.51,16,13,2,0,0,0,55.1,61,45,40,10,39,0,61,7,0,1,274,65,5.77,1.807,9.9,1.6,6.3,9.9,1.56,No
468,Troy Melton,24,DET,AL,1,3,2,0.6,2.76,16,4,0,0,0,0,45.2,31,15,14,7,15,0,36,1,0,2,180,151,4.6,1.007,6.1,1.4,3,7.1,2.4,No
469,Carson Seymour,26,SFG,NL,-0.2,1,3,0.25,4.75,16,3,7,0,0,0,36,37,21,19,9,13,0,26,1,0,0,156,84,6.11,1.389,9.3,2.3,3.3,6.5,2,No
470,Wikelman Gonz�lez,23,CHW,AL,0.2,1,0,1,2.66,16,0,6,0,0,0,20.1,13,9,6,1,12,0,25,0,0,0,87,160,3.09,1.23,5.8,0.4,5.3,11.1,2.08,No
471,Brooks Kriske,31,2TM,2LG,-0.6,0,1,0,7.5,16,0,7,0,0,0,18,20,15,15,1,15,1,18,0,0,1,88,57,4.36,1.944,10,0.5,7.5,9,1.2,No
472,Bryan Hudson*,28,2TM,2LG,-0.2,0,1,0,4.8,16,0,2,0,0,0,15,15,10,8,2,13,2,19,2,1,0,75,91,5.34,1.867,9,1.2,7.8,11.4,1.46,No
473,Tanner Gordon,27,COL,NL,-0.1,6,8,0.429,6.33,15,15,0,0,0,0,75.1,96,60,53,16,17,0,62,3,1,1,337,77,5.05,1.5,11.5,1.9,2,7.4,3.65,No
474,Michael King,30,SDP,NL,1.2,5,3,0.625,3.44,15,15,0,1,1,0,73.1,62,31,28,12,26,0,76,4,0,2,308,125,4.42,1.2,7.6,1.5,3.2,9.3,2.92,No
475,Emmet Sheehan,25,LAD,NL,1,6,3,0.667,2.82,15,12,0,0,0,0,73.1,49,29,23,7,22,0,89,2,0,2,291,147,2.93,0.968,6,0.9,2.7,10.9,4.05,No
476,Yu Darvish,38,SDP,NL,0,5,5,0.5,5.38,15,15,0,0,0,0,72,66,44,43,14,19,0,68,6,0,4,296,80,4.82,1.181,8.3,1.8,2.4,8.5,3.58,No
478,Sean Manaea*,33,NYM,NL,-0.4,2,4,0.333,5.64,15,12,2,0,0,0,60.2,62,38,38,13,12,0,75,7,0,2,263,72,4.39,1.22,9.2,1.9,1.8,11.1,6.25,No
479,Paul Blackburn,31,2TM,2LG,-0.5,0,3,0,6.23,15,4,10,0,0,1,39,47,29,27,6,12,0,34,1,1,1,175,66,4.39,1.513,10.8,1.4,2.8,7.8,2.83,No
480,Chris Stratton,34,2TM,2LG,-0.5,0,0,,7.71,15,0,9,0,0,0,21,32,20,18,4,10,0,22,0,0,0,104,55,4.95,2,13.7,1.7,4.3,9.4,2.2,No
481,Hunter Stratton,28,2TM,NL,0,1,1,0.5,5.21,15,0,6,0,0,1,19,23,12,11,3,7,0,16,3,0,0,89,83,5.08,1.579,10.9,1.4,3.3,7.6,2.29,No
482,Michael Petersen,31,2TM,NL,0.1,0,0,,4,15,0,4,0,0,0,18,18,11,8,3,7,2,17,0,0,2,79,112,4.58,1.389,9,1.5,3.5,8.5,2.43,No
483,Jackson Kowar,28,SEA,AL,0.1,2,0,1,4.24,15,0,9,0,0,0,17,14,8,8,4,7,0,15,1,0,2,71,91,5.84,1.235,7.4,2.1,3.7,7.9,2.14,No
484,Tim Mayza*,33,2TM,NL,0.2,0,0,,3.78,15,0,5,0,0,0,16.2,17,7,7,2,5,0,15,2,0,1,74,119,4.16,1.32,9.2,1.1,2.7,8.1,3,No
485,Justin Bruihl*,28,TOR,AL,-0.2,0,0,,5.27,15,0,1,0,0,0,13.2,19,10,8,2,7,3,18,1,0,0,65,83,4.16,1.902,12.5,1.3,4.6,11.9,2.57,No
486,Daniel Robert,30,PHI,NL,0,0,0,,4.15,15,0,5,0,0,0,13,11,7,6,2,10,0,15,0,0,0,59,109,5.14,1.615,7.6,1.4,6.9,10.4,1.5,No
487,Penn Murfee,31,CHW,AL,-0.3,0,1,0,7.82,15,0,4,0,0,0,12.2,19,11,11,3,5,0,13,1,0,0,63,55,5.58,1.895,13.5,2.1,3.6,9.2,2.6,No
488,Clarke Schmidt,29,NYY,AL,1.7,4,4,0.5,3.32,14,14,0,0,0,0,78.2,56,29,29,9,30,0,73,1,2,2,316,123,3.95,1.093,6.4,1,3.4,8.4,2.43,No
489,Pablo L�pez,29,MIN,AL,2.1,5,4,0.556,2.74,14,14,0,0,0,0,75.2,64,28,23,6,20,0,73,4,2,1,312,156,3.19,1.11,7.6,0.7,2.4,8.7,3.65,No
490,Cam Schlittler,24,NYY,AL,2,4,3,0.571,2.96,14,14,0,0,0,0,73,58,24,24,8,31,0,84,5,0,3,304,138,3.74,1.219,7.2,1,3.8,10.4,2.71,No
491,Zach Eflin,31,BAL,AL,-0.4,6,5,0.545,5.93,14,14,0,0,0,0,71.1,88,48,47,18,13,0,50,2,0,1,309,68,5.65,1.416,11.1,2.3,1.6,6.3,3.85,No
492,Tylor Megill,29,NYM,NL,0.3,5,5,0.5,3.95,14,14,0,0,0,0,68.1,60,37,30,6,33,0,89,7,0,3,305,102,3.43,1.361,7.9,0.8,4.3,11.7,2.7,No
493,Kumar Rocker,25,TEX,AL,-1.1,4,5,0.444,5.74,14,14,0,0,0,0,64.1,71,42,41,11,23,0,56,4,0,6,287,64,4.88,1.461,9.9,1.5,3.2,7.8,2.43,No
494,Bowden Francis,29,TOR,AL,-0.8,2,8,0.2,6.05,14,14,0,0,0,0,64,71,46,43,19,27,0,54,6,0,3,288,71,6.85,1.531,10,2.7,3.8,7.6,2,No
495,Bradley Blalock,24,COL,NL,-1.6,2,6,0.25,9.36,14,12,2,0,0,0,58.2,85,61,61,17,23,1,27,3,0,2,275,52,7.31,1.841,13,2.6,3.5,4.1,1.17,No
497,Pierson Ohl,25,MIN,AL,-0.3,0,3,0,5.1,14,3,3,0,0,0,30,38,22,17,5,7,0,27,0,0,0,133,85,4.2,1.5,11.4,1.5,2.1,8.1,3.86,No
498,Andre Granillo,25,STL,NL,0.1,1,0,1,4.71,14,0,6,0,0,1,21,22,11,11,3,7,0,18,1,0,2,91,88,4.42,1.381,9.4,1.3,3,7.7,2.57,No
499,Noah Murdock,26,ATH,AL,-1.4,1,1,0.5,13.24,14,0,2,0,0,0,17,26,25,25,0,20,3,21,2,1,0,98,32,4.55,2.706,13.8,0,10.6,11.1,1.05,No
500,Will Klein,25,LAD,NL,0.2,1,1,0.5,2.35,14,0,5,0,0,0,15.1,14,6,4,0,10,0,21,2,0,0,70,181,2.74,1.565,8.2,0,5.9,12.3,2.1,No
