Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,All_Star
282,Logan Allen*,26,CLE,AL,0.4,8,11,0.421,4.25,30,29,0,0,0,0,156.2,157,84,74,18,62,1,122,6,0,4,676,98,4.37,1.398,9,1,3.6,7,1.97,No
283,Antonio Senzatela,30,COL,NL,-0.5,4,15,0.211,6.65,30,23,0,0,0,0,130,192,103,96,22,47,2,73,8,1,9,618,73,5.48,1.838,13.3,1.5,3.3,5.1,1.55,No
284,John Curtiss,32,ARI,NL,0.4,3,2,0.6,3.93,30,0,12,0,0,1,36.2,29,18,16,5,5,0,24,0,0,0,141,111,4.01,0.927,7.1,1.2,1.2,5.9,4.8,No
285,Shawn Dubin,29,2TM,AL,-0.2,2,0,1,5.08,30,0,4,0,0,0,33.2,37,19,19,6,11,0,28,2,0,0,145,83,4.95,1.426,9.9,1.6,2.9,7.5,2.55,No
286,Tommy Nance,34,TOR,AL,0.6,2,0,1,1.99,30,0,9,0,0,0,31.2,25,11,7,0,7,0,32,1,0,1,126,216,1.87,1.011,7.1,0,2,9.1,4.57,No
287,Zach Agnos,24,COL,NL,-0.4,1,3,0.25,6.61,30,0,14,0,0,4,31.1,31,25,23,5,17,0,19,0,0,2,138,74,5.63,1.532,8.9,1.4,4.9,5.5,1.12,No
288,Jonathan Lo�isiga,30,NYY,AL,0.2,0,1,0,4.25,30,0,3,0,0,1,29.2,34,15,14,7,10,3,25,3,0,1,135,97,5.83,1.483,10.3,2.1,3,7.6,2.5,No
289,Eduardo Salazar,27,WSN,NL,-0.8,0,1,0,8.38,30,0,9,0,0,0,29,47,29,27,7,16,0,23,1,1,3,150,50,6.45,2.172,14.6,2.2,5,7.1,1.44,No
290,Joel Payamps,31,2TM,NL,-0.6,0,1,0,6.84,30,0,11,0,0,1,26.1,31,20,20,4,9,1,24,2,0,0,117,62,4.54,1.519,10.6,1.4,3.1,8.2,2.67,No
291,Brooks Raley*,37,NYM,NL,0.7,3,1,0.75,2.45,30,0,1,0,0,0,25.2,14,7,7,0,6,0,25,2,0,0,99,166,2.12,0.779,4.9,0,2.1,8.8,4.17,No
292,Brayan Bello,26,BOS,AL,2.4,11,9,0.55,3.35,29,28,0,1,0,0,166.2,147,71,62,16,59,0,124,13,0,5,700,123,4.19,1.236,7.9,0.9,3.2,6.7,2.1,No
294,Luis Severino,31,ATH,AL,1,8,11,0.421,4.54,29,29,0,0,0,0,162.2,162,93,82,16,50,1,124,16,0,3,705,92,4.11,1.303,9,0.9,2.8,6.9,2.48,No
295,Quinn Priester,24,MIL,NL,3,13,3,0.813,3.32,29,24,2,0,0,0,157.1,145,62,58,18,50,0,132,6,0,4,653,125,4.01,1.239,8.3,1,2.9,7.6,2.64,No
